Date,Time,Open,High,Low,Close,Volume
20250804,000000,1300,1300,1300,1300,1
20250810,000000,850,850,800,800,2
20250811,000000,795,795,795,795,1
20250812,000000,795,795,490,490,40
20250813,000000,490,490,490,490,608
20250816,000000,500,1490,409,409,104
20250817,000000,411,411,411,411,99
20250818,000000,593,593,593,593,1
20250819,000000,501,583,500,500,331
20250820,000000,553,553,421,490,531
20250823,000000,503,503,379,379,451
20250825,000000,319,319,225,295,1528
20250826,000000,373,383,295,311,415
20250827,000000,320,369,295,295,3621
20250830,000000,219,320,195,310,1681
20250831,000000,300,362,250,343,1119
20250902,000000,400,450,359,431,1140
20250903,000000,453,463,390,455,922
20250906,000000,493,493,266,383,1204
20250907,000000,400,500,390,480,16874
20250908,000000,452,940,452,899,10328
20250909,000000,800,1000,741,900,46203
20250913,000000,885,988,825,885,21324
20250914,000000,825,1300,825,1181,31536
20250915,000000,1202,1259,961,992,23385
20250916,000000,975,1010,851,884,22319
20250917,000000,803,930,751,755,22612
20250920,000000,590,590,195,290,60503
20250921,000000,297,442,280,427,158926
20250922,000000,637,637,460,491,58276
20250923,000000,517,580,350,375,81629
20250924,000000,350,440,302,440,80292
20250927,000000,488,898,488,815,152374
20250928,000000,1230,1990,1205,1870,287967
20250929,000000,2100,2110,1333,1389,191549
20250930,000000,1216,1830,1100,1300,137465
20251001,000000,1300,1560,1030,1550,190500
20251004,000000,1999,2770,1980,2510,136047
20251005,000000,2608,2870,2000,2030,115787
20251006,000000,1853,2417,1315,1800,20725
20251007,000000,1350,2348,1350,2174,17792
20251008,000000,2000,2390,1852,1982,4253
20251011,000000,1710,2410,1710,2410,6160
20251012,000000,1950,3730,1950,3131,24270
20251013,000000,3389,3730,2712,3000,59905
20251014,000000,3100,3495,2312,2432,57768
20251015,000000,2400,3300,2150,3240,55398
20251018,000000,3500,3700,3005,3571,94237
20251019,000000,3630,3888,2803,2810,75807
20251020,000000,2600,3574,2600,3004,88117
20251021,000000,2940,3400,2673,3215,108514
20251022,000000,3500,3550,3096,3500,18513
20251025,000000,3200,3200,2760,3070,4910
20251026,000000,3070,3360,3000,3348,10270
20251027,000000,3250,3968,3250,3900,25312
20251028,000000,4000,4480,3961,4099,18996
20251029,000000,4200,4500,4000,4285,6356
20251101,000000,4500,5490,3411,3640,108186
20251102,000000,3500,4444,3500,4250,99331
20251103,000000,3710,4514,3710,3851,19552
20251104,000000,3301,3999,2609,2994,4696
20251105,000000,2101,3000,2101,2500,11793
20251108,000000,2750,2802,1650,1800,4743
20251109,000000,1500,1500,699,850,6212
