Date,Time,Open,High,Low,Close,Volume
20250826,000000,59,59,59,59,1
20250827,000000,250,250,125,125,302
20250830,000000,100,143,100,143,227
20250831,000000,282,282,89,89,25
20250902,000000,200,232,151,200,92
20250903,000000,200,250,200,202,131
20250906,000000,131,140,131,140,196
20250907,000000,293,393,210,210,148
20250908,000000,433,433,320,370,3859
20250909,000000,396,396,212,319,18987
20250913,000000,580,580,262,360,10025
20250914,000000,593,593,303,360,5724
20250915,000000,390,502,290,350,2920
20250916,000000,360,380,300,310,2317
20250917,000000,395,395,235,258,3129
20250920,000000,101,174,91,115,18013
20250921,000000,110,300,110,140,4516
20250922,000000,470,479,113,161,9262
20250923,000000,139,180,121,180,19958
20250924,000000,72,143,72,128,41003
20250927,000000,113,300,113,217,17482
20250928,000000,300,516,300,460,66135
20250929,000000,480,500,361,368,42833
20250930,000000,359,448,321,344,22912
20251001,000000,370,423,251,397,21125
20251004,000000,587,899,587,818,62984
20251005,000000,822,822,657,700,41024
20251006,000000,650,800,310,392,8338
20251007,000000,460,790,460,660,252
20251008,000000,540,645,420,645,557
20251011,000000,900,900,601,700,5996
20251012,000000,777,1677,777,1615,16020
20251013,000000,1700,1990,1111,1440,29010
20251014,000000,1400,1989,1120,1155,23632
20251015,000000,1155,1562,1000,1502,20210
20251018,000000,1510,1841,1510,1700,30405
20251019,000000,1937,1937,1350,1361,53079
20251020,000000,1361,1600,1033,1200,73818
20251021,000000,1081,1479,1081,1346,106915
20251022,000000,1300,1550,1300,1461,7322
20251025,000000,1380,1499,1101,1480,2352
20251026,000000,1477,1477,1142,1202,7015
20251027,000000,1150,1576,1150,1464,9966
20251028,000000,1656,1880,1300,1300,7095
20251029,000000,1300,1849,1101,1312,2529
20251101,000000,1721,2398,1000,1165,582878
20251102,000000,1130,1620,1050,1510,817432
20251103,000000,1500,1578,900,900,24886
20251104,000000,900,1200,476,476,6373
20251105,000000,500,520,300,405,12667
20251108,000000,480,500,160,170,8780
20251109,000000,175,176,31,90,24182
