Date,Time,Open,High,Low,Close,Volume
20250610,000000,350,350,350,350,1
20250714,000000,249,299,249,299,38
20250719,000000,190,190,190,190,50
20250720,000000,190,190,190,190,10
20250722,000000,190,190,190,190,140
20250723,000000,190,190,190,190,50
20250727,000000,100,100,98,98,445
20250802,000000,53,53,53,53,1876
20250809,000000,20,40,20,40,2000
20250819,000000,50,50,50,50,50
20250827,000000,50,50,50,50,60
20250830,000000,39,40,39,40,550
20250902,000000,40,40,40,40,30
20250909,000000,50,50,40,42,528
20250913,000000,46,46,25,46,320
20250914,000000,55,55,49,49,11270
20250915,000000,54,54,50,50,5581
20250916,000000,59,59,59,59,1
20250917,000000,35,35,35,35,500
20250920,000000,25,25,20,25,3585
20250921,000000,20,25,18,25,5456
20250922,000000,21,23,16,19,4635
20250923,000000,20,28,18,21,60098
20250924,000000,25,31,23,28,67081
20250927,000000,30,110,30,72,311169
20250928,000000,95,110,75,91,444931
20250929,000000,110,110,70,71,420945
20250930,000000,70,90,57,66,796970
20251001,000000,59,74,45,53,881866
20251004,000000,74,119,74,116,1628510
20251005,000000,123,130,81,92,2284836
20251006,000000,89,117,80,85,2110773
20251007,000000,82,130,78,102,3608425
20251008,000000,100,107,85,87,2162998
20251011,000000,90,114,87,105,2885788
20251012,000000,111,137,109,137,2646835
20251013,000000,140,147,115,117,1802955
20251014,000000,116,129,88,89,1147474
20251015,000000,89,99,78,97,851132
20251018,000000,105,115,100,113,1258956
20251019,000000,118,118,89,93,942771
20251020,000000,89,102,84,91,959537
20251025,000000,74,103,73,99,480462
20251026,000000,105,119,103,115,1639742
20251027,000000,111,146,103,135,1735193
20251028,000000,144,156,128,146,1373946
20251029,000000,147,148,130,139,1029615
20251101,000000,140,156,102,109,1118154
20251102,000000,113,139,97,131,1676794
20251103,000000,143,156,130,137,1104354
20251104,000000,123,141,91,99,805984
20251105,000000,97,110,88,95,2859267
