Date,Time,Open,High,Low,Close,Volume
20250713,000000,80,98,80,94,403
20250714,000000,100,100,90,97,221
20250716,000000,96,96,85,87,230
20250719,000000,75,80,71,79,335
20250720,000000,78,78,42,70,1181
20250802,000000,56,56,40,55,235
20250803,000000,52,55,45,51,2978
20250804,000000,46,60,46,60,584
20250805,000000,49,57,40,41,1857
20250806,000000,41,41,41,41,75
20250809,000000,64,64,55,55,150
20250810,000000,50,55,49,55,574
20250811,000000,40,48,40,48,837
20250812,000000,48,48,43,43,2781
20250813,000000,46,47,37,39,1604
20250816,000000,6,46,6,45,11062
20250817,000000,55,55,48,51,2243
20250818,000000,50,55,44,44,10396
20250819,000000,44,50,44,44,4920
20250820,000000,42,42,39,40,15221
20250823,000000,58,58,44,47,5307
20250825,000000,42,42,32,35,3425
20250826,000000,40,45,37,40,4246
20250827,000000,51,51,40,45,2619
20250830,000000,44,50,43,47,3439
20250831,000000,40,59,40,52,20409
20250902,000000,57,62,55,62,4310
20250903,000000,65,65,57,58,5456
20250906,000000,65,65,45,49,8070
20250907,000000,60,69,50,60,12375
20250908,000000,85,98,82,93,7804
20250909,000000,81,87,64,79,28178
20250913,000000,71,76,50,64,130572
20250914,000000,73,76,69,75,126057
20250915,000000,72,73,57,57,41340
20250916,000000,58,63,51,53,34272
20250917,000000,54,54,44,47,42266
20250920,000000,47,47,26,29,124757
20250921,000000,29,37,28,34,591966
20250922,000000,38,41,32,33,130129
20250923,000000,33,36,29,30,147797
20250924,000000,23,31,23,31,401232
20250927,000000,34,42,34,40,407595
20250928,000000,50,57,43,53,284365
20250929,000000,55,57,42,44,412375
20250930,000000,43,48,36,44,367205
20251001,000000,44,50,37,41,378306
20251004,000000,48,60,48,58,383731
20251005,000000,54,61,51,58,788895
20251006,000000,57,65,51,53,309916
20251007,000000,55,70,50,70,403413
20251008,000000,70,70,58,62,428458
20251011,000000,61,72,59,70,665179
20251012,000000,71,93,70,90,550254
20251013,000000,88,104,75,95,990874
20251014,000000,92,108,77,82,736889
20251015,000000,86,92,77,92,517931
20251018,000000,97,106,93,106,551207
20251019,000000,115,118,107,108,787329
20251020,000000,102,125,98,100,738945
20251021,000000,103,114,92,99,314526
20251026,000000,107,114,101,103,233822
20251027,000000,103,119,100,114,618522
20251028,000000,114,119,99,106,611731
20251029,000000,107,122,100,122,870315
20251101,000000,112,128,97,103,736674
20251102,000000,95,117,95,114,402510
20251103,000000,113,119,107,107,371801
20251104,000000,90,120,90,100,424305
20251105,000000,107,125,105,124,889403
20251108,000000,126,134,99,100,440136
20251109,000000,92,100,65,73,344122
